no;q2;sex;age;work;educ;tenure
2573;not changed;female;45-54;full or part time;high (Degree);mortgage
2574;not changed;male;45-54;full or part time;high (Degree);mortgage
2575;up by 5% or more;male;45-54;not working;medium (A-Level);owned outright
2576;up by 2% but less than 3%;male;65+;not working;medium (A-Level);owned outright
2577;not changed;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
2578;up by 4% but less than 5%;female;55-64;not working;low (GCSE);council rent
2579;up by 2% but less than 3%;female;65+;not working;low (GCSE);mortgage
2580;up by 3% but less than 4%;male;15-24;full or part time;medium (A-Level);mortgage
2581;up by 3% but less than 4%;male;55-64;not working;low (GCSE);other (inc private rent pre-2016)
2582;up by 4% but less than 5%;male;45-54;full or part time;high (Degree);mortgage
2583;up by 2% but less than 3%;female;55-64;full or part time;medium (A-Level);mortgage
2584;up by 3% but less than 4%;male;15-24;not working;medium (A-Level);mortgage
2585;up by 1% but less than 2%;male;65+;not working;medium (A-Level);council rent
2586;up by 4% but less than 5%;female;55-64;not working;medium (A-Level);council rent
2587;up by 5% or more;male;35-44;not working;medium (A-Level);council rent
2588;up by 1% or less;female;55-64;full or part time;medium (A-Level);owned outright
2589;up by 4% but less than 5%;female;65+;not working;low (GCSE);council rent
2590;up by 2% but less than 3%;female;25-34;not working;high (Degree);mortgage
2591;up by 1% but less than 2%;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
2592;up by 2% but less than 3%;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
2593;up by 5% or more;female;65+;not working;low (GCSE);owned outright
2594;Gone down;female;35-44;full or part time;medium (A-Level);mortgage
2595;up by 5% or more;female;55-64;not working;low (GCSE);council rent
2596;up by 5% or more;female;25-34;not working;low (GCSE);council rent
2597;up by 5% or more;female;25-34;not working;low (GCSE);council rent
2598;up by 1% but less than 2%;female;25-34;not working;low (GCSE);council rent
2599;up by 5% or more;male;25-34;full or part time;low (GCSE);council rent
2600;up by 5% or more;male;65+;not working;low (GCSE);owned outright
2601;up by 4% but less than 5%;female;65+;not working;medium (A-Level);owned outright
2602;up by 4% but less than 5%;male;65+;not working;medium (A-Level);owned outright
2603;up by 4% but less than 5%;female;45-54;full or part time;medium (A-Level);mortgage
2604;up by 5% or more;female;65+;not working;low (GCSE);owned outright
2605;up by 3% but less than 4%;male;55-64;full or part time;medium (A-Level);owned outright
2606;up by 5% or more;female;55-64;not working;low (GCSE);owned outright
2607;up by 5% or more;male;35-44;full or part time;medium (A-Level);mortgage
2608;up by 3% but less than 4%;male;15-24;full or part time;medium (A-Level);mortgage
2609;up by 1% or less;female;45-54;full or part time;medium (A-Level);owned outright
2610;not changed;male;35-44;full or part time;medium (A-Level);owned outright
2611;Gone down;male;15-24;full or part time;medium (A-Level);owned outright
2612;up by 1% or less;male;45-54;full or part time;low (GCSE);mortgage
2613;up by 5% or more;male;35-44;full or part time;medium (A-Level);mortgage
2614;not changed;male;65+;not working;low (GCSE);owned outright
2615;up by 3% but less than 4%;female;45-54;full or part time;medium (A-Level);mortgage
2616;up by 5% or more;female;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
2617;up by 5% or more;female;45-54;full or part time;medium (A-Level);owned outright
2618;up by 5% or more;female;45-54;full or part time;medium (A-Level);owned outright
2619;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
2620;up by 3% but less than 4%;female;35-44;not working;medium (A-Level);mortgage
2621;up by 2% but less than 3%;male;35-44;not working;medium (A-Level);mortgage
2622;up by 5% or more;female;65+;full or part time;medium (A-Level);owned outright
2623;up by 5% or more;female;25-34;not working;low (GCSE);other (inc private rent pre-2016)
2624;not changed;female;35-44;not working;medium (A-Level);mortgage
2625;up by 5% or more;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
2626;not changed;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
2627;not changed;male;55-64;full or part time;medium (A-Level);council rent
2628;Gone down;male;25-34;full or part time;medium (A-Level);owned outright
2629;up by 4% but less than 5%;male;65+;not working;low (GCSE);mortgage
2630;up by 5% or more;male;55-64;full or part time;low (GCSE);mortgage
2631;Gone down;male;45-54;full or part time;high (Degree);mortgage
2632;Gone down;female;25-34;not working;low (GCSE);mortgage
2633;up by 5% or more;male;55-64;full or part time;high (Degree);mortgage
2634;up by 5% or more;female;15-24;full or part time;low (GCSE);other (inc private rent pre-2016)
2635;up by 5% or more;male;15-24;full or part time;high (Degree);other (inc private rent pre-2016)
2636;up by 3% but less than 4%;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
2637;up by 4% but less than 5%;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
2638;up by 5% or more;female;35-44;full or part time;medium (A-Level);mortgage
2639;not changed;female;45-54;not working;medium (A-Level);other (inc private rent pre-2016)
2640;up by 2% but less than 3%;female;25-34;full or part time;medium (A-Level);mortgage
2641;up by 4% but less than 5%;male;65+;not working;medium (A-Level);owned outright
2642;up by 1% but less than 2%;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
2643;Gone down;male;15-24;full or part time;medium (A-Level);mortgage
2644;not changed;male;35-44;full or part time;medium (A-Level);council rent
2645;Gone down;male;55-64;not working;high (Degree);owned outright
2646;up by 2% but less than 3%;female;55-64;full or part time;medium (A-Level);owned outright
2647;up by 3% but less than 4%;female;35-44;full or part time;high (Degree);mortgage
2648;up by 1% or less;male;45-54;full or part time;low (GCSE);mortgage
2649;up by 1% but less than 2%;male;45-54;full or part time;high (Degree);mortgage
2650;up by 3% but less than 4%;male;25-34;not working;medium (A-Level);mortgage
2651;up by 2% but less than 3%;female;45-54;full or part time;medium (A-Level);owned outright
2652;up by 5% or more;female;25-34;full or part time;high (Degree);mortgage
2653;not changed;female;35-44;full or part time;medium (A-Level);mortgage
2654;Gone down;male;45-54;full or part time;high (Degree);owned outright
2655;not changed;female;45-54;full or part time;high (Degree);mortgage
2656;not changed;female;45-54;full or part time;high (Degree);owned outright
2657;up by 1% but less than 2%;male;35-44;full or part time;medium (A-Level);mortgage
2658;not changed;male;55-64;not working;medium (A-Level);mortgage
2659;up by 4% but less than 5%;male;15-24;full or part time;high (Degree);mortgage
2660;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
2661;up by 2% but less than 3%;female;35-44;full or part time;medium (A-Level);mortgage
2662;up by 1% or less;female;35-44;full or part time;medium (A-Level);mortgage
2663;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
2664;up by 3% but less than 4%;female;35-44;full or part time;high (Degree);mortgage
2665;not changed;male;35-44;full or part time;medium (A-Level);mortgage
2666;up by 3% but less than 4%;female;45-54;full or part time;medium (A-Level);mortgage
2667;up by 4% but less than 5%;female;35-44;full or part time;medium (A-Level);mortgage
2668;up by 3% but less than 4%;male;65+;not working;medium (A-Level);owned outright
2669;up by 1% or less;male;15-24;not working;medium (A-Level);mortgage
2670;up by 2% but less than 3%;male;55-64;full or part time;medium (A-Level);mortgage
2671;up by 2% but less than 3%;male;65+;not working;medium (A-Level);owned outright
2672;up by 4% but less than 5%;male;65+;not working;low (GCSE);owned outright
2673;up by 5% or more;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
2674;Gone down;male;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
2675;Gone down;male;55-64;full or part time;high (Degree);mortgage
2676;Gone down;female;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
2677;up by 2% but less than 3%;male;25-34;full or part time;high (Degree);mortgage
2678;not changed;male;45-54;full or part time;medium (A-Level);mortgage
2679;up by 2% but less than 3%;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
2680;up by 5% or more;female;45-54;full or part time;low (GCSE);mortgage
2681;up by 5% or more;female;35-44;not working;medium (A-Level);mortgage
2682;up by 5% or more;female;15-24;not working;medium (A-Level);council rent
2683;Gone down;male;35-44;not working;low (GCSE);council rent
2684;up by 5% or more;female;65+;not working;low (GCSE);owned outright
2685;up by 4% but less than 5%;female;65+;not working;medium (A-Level);owned outright
2686;up by 1% or less;female;35-44;full or part time;medium (A-Level);mortgage
2687;up by 1% but less than 2%;female;35-44;full or part time;medium (A-Level);mortgage
2688;up by 3% but less than 4%;female;55-64;not working;medium (A-Level);owned outright
2689;Gone down;female;55-64;not working;medium (A-Level);owned outright
2690;Gone down;male;45-54;not working;high (Degree);mortgage
2691;up by 5% or more;female;45-54;full or part time;medium (A-Level);owned outright
2692;up by 3% but less than 4%;male;45-54;full or part time;medium (A-Level);mortgage
2693;up by 1% but less than 2%;female;25-34;full or part time;high (Degree);mortgage
2694;up by 5% or more;female;55-64;not working;medium (A-Level);council rent
2695;Gone down;female;25-34;not working;medium (A-Level);council rent
2696;up by 3% but less than 4%;male;65+;not working;medium (A-Level);owned outright
2697;up by 4% but less than 5%;female;65+;not working;low (GCSE);mortgage
2698;Gone down;female;15-24;full or part time;medium (A-Level);mortgage
2699;up by 1% but less than 2%;female;25-34;full or part time;high (Degree);mortgage
2700;up by 2% but less than 3%;male;35-44;full or part time;medium (A-Level);mortgage
2701;up by 5% or more;male;25-34;not working;medium (A-Level);mortgage
2702;up by 4% but less than 5%;female;35-44;full or part time;low (GCSE);mortgage
2703;up by 4% but less than 5%;male;45-54;full or part time;medium (A-Level);mortgage
2704;up by 5% or more;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
2705;not changed;male;25-34;not working;medium (A-Level);mortgage
2706;up by 2% but less than 3%;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
2707;not changed;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
2708;up by 2% but less than 3%;female;35-44;full or part time;high (Degree);mortgage
2709;not changed;female;45-54;full or part time;high (Degree);mortgage
2710;up by 2% but less than 3%;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
2711;Gone down;male;45-54;full or part time;medium (A-Level);mortgage
2712;up by 4% but less than 5%;female;45-54;not working;medium (A-Level);owned outright
2713;up by 2% but less than 3%;female;35-44;not working;medium (A-Level);mortgage
2714;up by 5% or more;female;45-54;full or part time;medium (A-Level);mortgage
2715;up by 5% or more;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
2716;Gone down;male;25-34;full or part time;low (GCSE);other (inc private rent pre-2016)
2717;up by 4% but less than 5%;female;25-34;full or part time;high (Degree);council rent
2718;Gone down;female;45-54;full or part time;high (Degree);mortgage
2719;Gone down;female;45-54;not working;medium (A-Level);owned outright
2720;Gone down;male;65+;full or part time;medium (A-Level);mortgage
2721;up by 2% but less than 3%;female;35-44;not working;high (Degree);mortgage
2722;up by 1% but less than 2%;female;65+;not working;high (Degree);owned outright
